corridor,pk_cum,X,Y,gml_id,cleabs,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,route,numero,abscisse,ordre,cote,statut,type_de_pr,libelle,identifiant_de_section,code_insee_du_departement,lien_vers_route_nommee,gestionnaire
a40,31.885,5.22622571,46.25860036,,POIN_REP0000002330655459,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,172,69152,69,D,PR valide,PR,01PR172DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,32.877,5.23833927,46.25555845,,POIN_REP0000002330655431,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,171,68152,68,D,PR valide,PR,01PR171DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,33.948,5.25222951,46.25501594,,POIN_REP0000002330655520,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,170,67152,67,D,PR valide,PR,01PR170DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,34.922,5.26190797,46.24937835,,POIN_REP0000002330655550,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,169,66152,66,D,PR valide,PR,01PR169DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,35.934,5.2704196,46.24245155,,POIN_REP0000002330655571,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,168,65152,65,D,PR valide,PR,01PR168DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,36.934,5.27876851,46.23556515,,POIN_REP0000002330655495,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,167,64152,64,D,PR valide,PR,01PR167DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,37.924,5.28630357,46.22835574,,POIN_REP0000002330655415,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,166,63152,63,D,PR valide,PR,01PR166DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,38.933,5.29185342,46.22015071,,POIN_REP0000002330655450,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,165,62152,62,D,PR valide,PR,01PR165DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,39.937,5.29488633,46.21137731,,POIN_REP0000002330655552,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,164,61152,61,D,PR valide,PR,01PR164DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,40.939,5.29548693,46.20238808,,POIN_REP0000002330655564,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,163,60152,60,D,PR valide,PR,01PR163DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,41.928,5.29563105,46.19349994,,POIN_REP0000002330655472,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,162,59152,59,D,PR valide,PR,01PR162DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,42.930,5.29952849,46.18491699,,POIN_REP0000002330655506,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,161,58152,58,D,PR valide,PR,01PR161DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,43.928,5.30367467,46.17641892,,POIN_REP0000002330655398,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,160,57152,57,D,PR valide,PR,01PR160DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,44.931,5.30106987,46.16759184,,POIN_REP0000002330655481,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,159,56152,56,D,PR valide,PR,01PR159DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,45.926,5.29623158,46.15930716,,POIN_REP0000002330655486,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,158,55152,55,D,PR valide,PR,01PR158DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,46.927,5.29308106,46.15058645,,POIN_REP0000002330655539,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,157,54152,54,D,PR valide,PR,01PR157DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,47.933,5.28964533,46.14187052,,POIN_REP0000002330655422,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,156,53152,53,D,PR valide,PR,01PR156DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,48.936,5.284969,46.13345784,,POIN_REP0000002330655504,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,155,52152,52,D,PR valide,PR,01PR155DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,49.906,5.28321081,46.124835,,POIN_REP0000002330655482,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,154,51152,51,D,PR valide,PR,01PR154DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,50.894,5.28917563,46.11697374,,POIN_REP0000002330655435,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,153,50152,50,D,PR valide,PR,01PR153DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,51.879,5.29178445,46.1083133,,POIN_REP0000002330655386,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,152,49152,49,D,PR valide,PR,01PR152DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,52.877,5.29005156,46.09943419,,POIN_REP0000002330655573,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,151,48152,48,D,PR valide,PR,01PR151DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,53.888,5.2884625,46.09041974,,POIN_REP0000002330655560,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,150,47152,47,D,PR valide,PR,01PR150DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,54.870,5.29227662,46.0820052,,POIN_REP0000002330655478,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,149,46152,46,D,PR valide,PR,01PR149DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,55.847,5.30258041,46.07691379,,POIN_REP0000002330655516,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,148,45152,45,D,PR valide,PR,01PR148DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,56.835,5.31445356,46.07360196,,POIN_REP0000002330655463,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,147,44152,44,D,PR valide,PR,01PR147DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,57.606,5.32317055,46.07021661,,POIN_REP0000002330655575,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,146,43152,43,D,PR valide,PR,01PR146DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,58.253,5.33142365,46.07120489,,POIN_REP0000002330655420,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,145,42152,42,D,PR valide,PR,01PR145DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,59.214,5.34225829,46.07544734,,POIN_REP0000002330655559,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,144,41152,41,D,PR valide,PR,01PR144DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,60.163,5.3545271,46.07502396,,POIN_REP0000002330655543,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,143,40152,40,D,PR valide,PR,01PR143DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,61.166,5.36480416,46.08053714,,POIN_REP0000002330655525,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,142,39152,39,D,PR valide,PR,01PR142DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,62.125,5.37220257,46.0874592,,POIN_REP0000002330655512,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,141,38152,38,D,PR valide,PR,01PR141DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
a40,63.112,5.3849612,46.08695567,,POIN_REP0000002330655455,2023/03/09 12:34:59.704+00,2023/12/05 14:25:42.472+00,,,DGITM 2022,,A40,140,37152,37,D,PR valide,PR,01PR140DC,NAT-A40-D-7,01,ROUTNOMM0000000009137389,APRR
