corridor,route,pk,lat,lon,speed_kmh,source
a40,A40,39.81276,46.212452,5.294446,130,trace
a40,A40,39.86257,46.212008,5.294543,130,trace
a40,A40,39.91372,46.211563,5.294635,130,trace
a40,A40,39.96520,46.211119,5.294724,130,trace
a40,A40,40.01503,46.210673,5.294809,130,trace
a40,A40,40.06491,46.210227,5.294886,130,trace
a40,A40,40.11482,46.209781,5.294957,130,trace
a40,A40,40.16476,46.209334,5.295023,130,trace
a40,A40,40.21473,46.208887,5.295078,130,trace
a40,A40,40.26472,46.208439,5.295128,130,trace
a40,A40,40.31472,46.207991,5.295172,130,trace
a40,A40,40.36473,46.207542,5.295211,130,trace
a40,A40,40.41474,46.207094,5.295245,130,trace
a40,A40,40.46475,46.206645,5.295274,130,trace
a40,A40,40.51476,46.206196,5.295302,130,trace
a40,A40,40.56477,46.205747,5.295324,130,trace
a40,A40,40.61477,46.205298,5.295340,129,trace
a40,A40,40.66474,46.204849,5.295344,129,trace
a40,A40,40.71471,46.204400,5.295346,129,trace
a40,A40,40.76466,46.203951,5.295345,129,trace
a40,A40,40.81458,46.203502,5.295335,130,trace
a40,A40,40.86449,46.203053,5.295324,130,trace
a40,A40,40.91456,46.202604,5.295315,130,trace
a40,A40,40.96483,46.202154,5.295309,130,trace
a40,A40,41.01481,46.201705,5.295307,131,trace
a40,A40,41.06478,46.201256,5.295305,131,trace
